path,bytes,sha256,category
.gitignore,493,e8d08f96eb19c653f1f35ea1f84d02b2d01dbd7468bb4e7244cdd7f12a4ca13a,.gitignore
CITATION.cff,1040,e4a587aa20358ecdfd8ba67abe7f3150af66df6be56dcc037c73730138101091,CITATION.cff
configs/pk_ssm_candidate_grid_v1.json,3403,c56a6b44186b83014d606a7f59bb788106367bcf92aec7a3e2293f46ed416640,configs
DATA_ACCESS.md,895,c8aaa93c91e0ad6ec1c777cb4fbd2e00981b6292b3cc0f26ddb7cfffe8c53df1,DATA_ACCESS.md
docs/ACTIVITY_SHIFT_RESULTS_V4.md,12095,703954598bc3a31fa8df84a00aecebd82e6651d26e3a73414e9f71f3a2d86344,docs
docs/CLAIM_EVIDENCE_MAP_V4.md,4370,f9e20fa6c5a9d8b234b710bf1d9f9ad7a6e2786c9bca15542f6c621e453dcf73,docs
docs/FIGURE_LEGENDS_V4.md,5858,70be4844d79889b97d6b96f457ca7e3fc94becf1ae9a0714b8d8f0be5a0711ec,docs
docs/TERMINOLOGY_LEDGER_V4.md,4782,b4a5bdba390c17910c39296f036bd56c9ceffa41edb36433724e41d9b7aaaa68,docs
figures_v4/Figure_1_study_design_and_PKSSM.pdf,55606,c75b87b582074c32abd25b7ad0422c6e2e021f161daeb0c8f3edcaa465af7d48,figures_v4
figures_v4/Figure_1_study_design_and_PKSSM.png,204527,c470b39856ef150f4e6ad3db19a33fb655df9e37e2e89a29c3923505f27ccbc0,figures_v4
figures_v4/Figure_1_study_design_and_PKSSM.svg,22681,6403f98fbf85f464cdb14d2a8d00756c1aae6cb08e55b90bc95a562761dffdd2,figures_v4
figures_v4/Figure_2_heldout_user_accuracy.pdf,66263,c79718f3444884eaa9bbdd46227a2e69deafd5e383f273819066971b4390f2ba,figures_v4
figures_v4/Figure_2_heldout_user_accuracy.png,225558,6b5379628f74d86a0622625f451beb520be9d3ebaabbc230ba12d2a92e507117,figures_v4
